00001 , 001 , 1 , +31941.69 , +57969.59 , +2133.60 , -1.85 , 123.47 , 0.00
00001 , 001 , 6 , +31941.69 , +57969.59 , +2133.60 , -1.85 , 123.47 , 0.00
00002 , 001 , 1 , +31822.98 , +57935.64 , +2133.60 , -1.85 , 123.47 , 0.00
00002 , 001 , 6 , +31822.98 , +57935.64 , +2133.60 , -1.85 , 123.47 , 0.00
00003 , 001 , 1 , +31704.27 , +57901.69 , +2133.60 , -1.85 , 123.47 , 0.00
00003 , 001 , 6 , +31704.27 , +57901.69 , +2133.60 , -1.85 , 123.47 , 0.00
00004 , 001 , 1 , +31585.57 , +57867.74 , +2133.60 , -1.85 , 123.47 , 0.00
00004 , 001 , 6 , +31585.57 , +57867.74 , +2133.60 , -1.85 , 123.47 , 0.00
00005 , 001 , 1 , +31466.15 , +57836.41 , +2133.60 , -1.81 , 123.47 , 0.00
00005 , 001 , 6 , +31466.86 , +57833.79 , +2133.60 , -1.84 , 123.47 , 0.00
00006 , 001 , 1 , +31346.74 , +57805.07 , +2133.60 , -1.85 , 123.47 , 0.00
00006 , 001 , 6 , +31347.81 , +57801.08 , +2133.60 , -1.84 , 123.47 , 0.00
00007 , 001 , 1 , +31228.82 , +57768.53 , +2133.60 , -1.89 , 123.47 , 0.00
00007 , 001 , 6 , +31228.47 , +57769.41 , +2133.60 , -1.83 , 123.47 , 0.00
00008 , 001 , 1 , +31110.89 , +57731.99 , +2133.60 , -1.85 , 123.47 , 0.00
00008 , 001 , 6 , +31109.25 , +57737.34 , +2133.60 , -1.84 , 123.47 , 0.00
00009 , 001 , 1 , +30992.18 , +57698.04 , +2133.60 , -1.85 , 123.47 , 0.00
00009 , 001 , 6 , +30990.35 , +57704.05 , +2133.60 , -1.85 , 123.47 , 0.00
00010 , 001 , 1 , +30873.48 , +57664.09 , +2133.60 , -1.85 , 123.47 , 0.00
00010 , 001 , 6 , +30871.98 , +57668.98 , +2133.60 , -1.87 , 123.47 , 0.00
00011 , 001 , 1 , +30754.77 , +57630.14 , +2133.60 , -1.85 , 123.47 , 0.00
00011 , 001 , 6 , +30754.05 , +57632.43 , +2133.60 , -1.87 , 123.47 , 0.00
00012 , 001 , 1 , +30636.06 , +57596.19 , +2133.60 , -1.85 , 123.47 , 0.00
00012 , 001 , 6 , +30636.31 , +57595.25 , +2133.60 , -1.88 , 123.47 , 0.00
00013 , 001 , 1 , +30516.65 , +57564.85 , +2133.60 , -1.81 , 123.47 , 0.00
00013 , 001 , 6 , +30518.43 , +57558.54 , +2133.60 , -1.87 , 123.47 , 0.00
00014 , 001 , 1 , +30397.23 , +57533.51 , +2133.60 , -1.85 , 123.47 , 0.00
00014 , 001 , 6 , +30399.92 , +57523.93 , +2133.60 , -1.85 , 123.47 , 0.00
00015 , 001 , 1 , +30279.31 , +57496.97 , +2133.60 , -1.89 , 123.47 , 0.00
00015 , 001 , 6 , +30280.70 , +57491.84 , +2133.60 , -1.83 , 123.47 , 0.00
00016 , 001 , 1 , +30161.39 , +57460.43 , +2133.60 , -1.85 , 123.47 , 0.00
00016 , 001 , 6 , +30161.23 , +57460.68 , +2133.60 , -1.82 , 123.46 , 0.00
00017 , 001 , 1 , +30042.68 , +57426.48 , +2133.60 , -1.85 , 123.47 , 0.00
00017 , 001 , 6 , +30041.82 , +57429.32 , +2133.60 , -1.83 , 123.46 , 0.00
00018 , 001 , 1 , +29923.97 , +57392.53 , +2133.60 , -1.85 , 123.47 , 0.00
00018 , 001 , 6 , +29922.79 , +57396.52 , +2133.60 , -1.85 , 123.46 , 0.00
00019 , 001 , 1 , +29805.26 , +57358.58 , +2133.60 , -1.85 , 123.47 , 0.00
00019 , 001 , 6 , +29804.32 , +57361.79 , +2133.60 , -1.86 , 123.46 , 0.00
00020 , 001 , 1 , +29686.56 , +57324.63 , +2133.60 , -1.85 , 123.47 , 0.00
00020 , 001 , 6 , +29686.35 , +57325.36 , +2133.60 , -1.87 , 123.47 , 0.00
00021 , 001 , 1 , +29567.85 , +57290.68 , +2133.60 , -1.85 , 123.47 , 0.00
00021 , 001 , 6 , +29568.66 , +57288.04 , +2133.60 , -1.88 , 123.47 , 0.00
00022 , 001 , 1 , +29449.14 , +57256.73 , +2133.60 , -1.85 , 123.47 , 0.00
00022 , 001 , 6 , +29450.88 , +57250.99 , +2133.60 , -1.87 , 123.47 , 0.00
00023 , 001 , 1 , +29330.43 , +57222.78 , +2133.60 , -1.85 , 123.47 , 0.00
00023 , 001 , 6 , +29332.68 , +57215.32 , +2133.60 , -1.86 , 123.47 , 0.00
00024 , 001 , 1 , +29211.73 , +57188.83 , +2133.60 , -1.85 , 123.47 , 0.00
00024 , 001 , 6 , +29213.89 , +57181.68 , +2133.60 , -1.84 , 123.47 , 0.00
00025 , 001 , 1 , +29093.02 , +57154.88 , +2133.60 , -1.85 , 123.47 , 0.00
00025 , 001 , 6 , +29094.54 , +57150.06 , +2133.60 , -1.82 , 123.47 , 0.00
00026 , 001 , 1 , +28974.31 , +57120.93 , +2133.60 , -1.85 , 123.47 , 0.00
